id;name;geoid;geoname;value;datetime
10211;Hourly average price final sum of components;;;26.39;2023-01-01T00:00:00+01:00
10211;Hourly average price final sum of components;;;27.16;2023-01-01T01:00:00+01:00
10211;Hourly average price final sum of components;;;38.53;2023-01-01T02:00:00+01:00
10211;Hourly average price final sum of components;;;38.43;2023-01-01T03:00:00+01:00
10211;Hourly average price final sum of components;;;40.2;2023-01-01T04:00:00+01:00
10211;Hourly average price final sum of components;;;39.74;2023-01-01T05:00:00+01:00
10211;Hourly average price final sum of components;;;43.13;2023-01-01T06:00:00+01:00
10211;Hourly average price final sum of components;;;36.09;2023-01-01T07:00:00+01:00
10211;Hourly average price final sum of components;;;52.39;2023-01-01T08:00:00+01:00
10211;Hourly average price final sum of components;;;42.67;2023-01-01T09:00:00+01:00
10211;Hourly average price final sum of components;;;36.75;2023-01-01T10:00:00+01:00
10211;Hourly average price final sum of components;;;38.53;2023-01-01T11:00:00+01:00
10211;Hourly average price final sum of components;;;34.35;2023-01-01T12:00:00+01:00
10211;Hourly average price final sum of components;;;37;2023-01-01T13:00:00+01:00
10211;Hourly average price final sum of components;;;36.63;2023-01-01T14:00:00+01:00
10211;Hourly average price final sum of components;;;36.93;2023-01-01T15:00:00+01:00
10211;Hourly average price final sum of components;;;42.87;2023-01-01T16:00:00+01:00
10211;Hourly average price final sum of components;;;40.55;2023-01-01T17:00:00+01:00
10211;Hourly average price final sum of components;;;40.84;2023-01-01T18:00:00+01:00
10211;Hourly average price final sum of components;;;41.98;2023-01-01T19:00:00+01:00
10211;Hourly average price final sum of components;;;45.67;2023-01-01T20:00:00+01:00
10211;Hourly average price final sum of components;;;60.81;2023-01-01T21:00:00+01:00
10211;Hourly average price final sum of components;;;63.82;2023-01-01T22:00:00+01:00
10211;Hourly average price final sum of components;;;39.54;2023-01-01T23:00:00+01:00
10211;Hourly average price final sum of components;;;89.3;2023-01-02T00:00:00+01:00
10211;Hourly average price final sum of components;;;80.05;2023-01-02T01:00:00+01:00
10211;Hourly average price final sum of components;;;77.54;2023-01-02T02:00:00+01:00
10211;Hourly average price final sum of components;;;81.97;2023-01-02T03:00:00+01:00
10211;Hourly average price final sum of components;;;82.26;2023-01-02T04:00:00+01:00
10211;Hourly average price final sum of components;;;100.01;2023-01-02T05:00:00+01:00
10211;Hourly average price final sum of components;;;119.58;2023-01-02T06:00:00+01:00
10211;Hourly average price final sum of components;;;136.21;2023-01-02T07:00:00+01:00
10211;Hourly average price final sum of components;;;158.4;2023-01-02T08:00:00+01:00
10211;Hourly average price final sum of components;;;159.47;2023-01-02T09:00:00+01:00
10211;Hourly average price final sum of components;;;153.1;2023-01-02T10:00:00+01:00
10211;Hourly average price final sum of components;;;148.15;2023-01-02T11:00:00+01:00
10211;Hourly average price final sum of components;;;151.74;2023-01-02T12:00:00+01:00
10211;Hourly average price final sum of components;;;149.74;2023-01-02T13:00:00+01:00
10211;Hourly average price final sum of components;;;149.35;2023-01-02T14:00:00+01:00
10211;Hourly average price final sum of components;;;146.29;2023-01-02T15:00:00+01:00
10211;Hourly average price final sum of components;;;157.41;2023-01-02T16:00:00+01:00
10211;Hourly average price final sum of components;;;190.98;2023-01-02T17:00:00+01:00
10211;Hourly average price final sum of components;;;207.78;2023-01-02T18:00:00+01:00
10211;Hourly average price final sum of components;;;193.08;2023-01-02T19:00:00+01:00
10211;Hourly average price final sum of components;;;176.09;2023-01-02T20:00:00+01:00
10211;Hourly average price final sum of components;;;159.3;2023-01-02T21:00:00+01:00
10211;Hourly average price final sum of components;;;148.57;2023-01-02T22:00:00+01:00
10211;Hourly average price final sum of components;;;173.41;2023-01-02T23:00:00+01:00
10211;Hourly average price final sum of components;;;144.31;2023-01-03T00:00:00+01:00
10211;Hourly average price final sum of components;;;134.92;2023-01-03T01:00:00+01:00
10211;Hourly average price final sum of components;;;134.28;2023-01-03T02:00:00+01:00
10211;Hourly average price final sum of components;;;131.48;2023-01-03T03:00:00+01:00
10211;Hourly average price final sum of components;;;129.61;2023-01-03T04:00:00+01:00
10211;Hourly average price final sum of components;;;131.44;2023-01-03T05:00:00+01:00
10211;Hourly average price final sum of components;;;153.41;2023-01-03T06:00:00+01:00
10211;Hourly average price final sum of components;;;169.34;2023-01-03T07:00:00+01:00
10211;Hourly average price final sum of components;;;192.51;2023-01-03T08:00:00+01:00
10211;Hourly average price final sum of components;;;192.64;2023-01-03T09:00:00+01:00
10211;Hourly average price final sum of components;;;174.85;2023-01-03T10:00:00+01:00
10211;Hourly average price final sum of components;;;157.59;2023-01-03T11:00:00+01:00
10211;Hourly average price final sum of components;;;145.08;2023-01-03T12:00:00+01:00
10211;Hourly average price final sum of components;;;137.92;2023-01-03T13:00:00+01:00
10211;Hourly average price final sum of components;;;133.41;2023-01-03T14:00:00+01:00
10211;Hourly average price final sum of components;;;127.99;2023-01-03T15:00:00+01:00
10211;Hourly average price final sum of components;;;152;2023-01-03T16:00:00+01:00
10211;Hourly average price final sum of components;;;177.71;2023-01-03T17:00:00+01:00
10211;Hourly average price final sum of components;;;190.64;2023-01-03T18:00:00+01:00
10211;Hourly average price final sum of components;;;179.94;2023-01-03T19:00:00+01:00
10211;Hourly average price final sum of components;;;170.87;2023-01-03T20:00:00+01:00
10211;Hourly average price final sum of components;;;166.12;2023-01-03T21:00:00+01:00
10211;Hourly average price final sum of components;;;172.61;2023-01-03T22:00:00+01:00
10211;Hourly average price final sum of components;;;125.45;2023-01-03T23:00:00+01:00
10211;Hourly average price final sum of components;;;138.81;2023-01-04T00:00:00+01:00
10211;Hourly average price final sum of components;;;120.46;2023-01-04T01:00:00+01:00
10211;Hourly average price final sum of components;;;112.09;2023-01-04T02:00:00+01:00
10211;Hourly average price final sum of components;;;107.02;2023-01-04T03:00:00+01:00
10211;Hourly average price final sum of components;;;102.71;2023-01-04T04:00:00+01:00
10211;Hourly average price final sum of components;;;109.37;2023-01-04T05:00:00+01:00
10211;Hourly average price final sum of components;;;128.03;2023-01-04T06:00:00+01:00
10211;Hourly average price final sum of components;;;124.09;2023-01-04T07:00:00+01:00
10211;Hourly average price final sum of components;;;156.1;2023-01-04T08:00:00+01:00
10211;Hourly average price final sum of components;;;151.13;2023-01-04T09:00:00+01:00
10211;Hourly average price final sum of components;;;142.78;2023-01-04T10:00:00+01:00
10211;Hourly average price final sum of components;;;115;2023-01-04T11:00:00+01:00
10211;Hourly average price final sum of components;;;119.39;2023-01-04T12:00:00+01:00
10211;Hourly average price final sum of components;;;119.36;2023-01-04T13:00:00+01:00
10211;Hourly average price final sum of components;;;117.94;2023-01-04T14:00:00+01:00
10211;Hourly average price final sum of components;;;117.19;2023-01-04T15:00:00+01:00
10211;Hourly average price final sum of components;;;129.21;2023-01-04T16:00:00+01:00
10211;Hourly average price final sum of components;;;159.18;2023-01-04T17:00:00+01:00
10211;Hourly average price final sum of components;;;192.17;2023-01-04T18:00:00+01:00
10211;Hourly average price final sum of components;;;183.81;2023-01-04T19:00:00+01:00
10211;Hourly average price final sum of components;;;175.35;2023-01-04T20:00:00+01:00
10211;Hourly average price final sum of components;;;165.15;2023-01-04T21:00:00+01:00
10211;Hourly average price final sum of components;;;145.68;2023-01-04T22:00:00+01:00
10211;Hourly average price final sum of components;;;147.44;2023-01-04T23:00:00+01:00
10211;Hourly average price final sum of components;;;110.42;2023-01-05T00:00:00+01:00
10211;Hourly average price final sum of components;;;98.09;2023-01-05T01:00:00+01:00
10211;Hourly average price final sum of components;;;88;2023-01-05T02:00:00+01:00
10211;Hourly average price final sum of components;;;84.88;2023-01-05T03:00:00+01:00
10211;Hourly average price final sum of components;;;83.97;2023-01-05T04:00:00+01:00
10211;Hourly average price final sum of components;;;86.83;2023-01-05T05:00:00+01:00
10211;Hourly average price final sum of components;;;113.82;2023-01-05T06:00:00+01:00
10211;Hourly average price final sum of components;;;129.85;2023-01-05T07:00:00+01:00
10211;Hourly average price final sum of components;;;155.52;2023-01-05T08:00:00+01:00
10211;Hourly average price final sum of components;;;144.1;2023-01-05T09:00:00+01:00
10211;Hourly average price final sum of components;;;122.39;2023-01-05T10:00:00+01:00
10211;Hourly average price final sum of components;;;145.48;2023-01-05T11:00:00+01:00
10211;Hourly average price final sum of components;;;111.12;2023-01-05T12:00:00+01:00
10211;Hourly average price final sum of components;;;106.85;2023-01-05T13:00:00+01:00
10211;Hourly average price final sum of components;;;103.8;2023-01-05T14:00:00+01:00
10211;Hourly average price final sum of components;;;101.56;2023-01-05T15:00:00+01:00
10211;Hourly average price final sum of components;;;109.32;2023-01-05T16:00:00+01:00
10211;Hourly average price final sum of components;;;143.18;2023-01-05T17:00:00+01:00
10211;Hourly average price final sum of components;;;183.3;2023-01-05T18:00:00+01:00
10211;Hourly average price final sum of components;;;200.01;2023-01-05T19:00:00+01:00
10211;Hourly average price final sum of components;;;186.98;2023-01-05T20:00:00+01:00
10211;Hourly average price final sum of components;;;173.68;2023-01-05T21:00:00+01:00
10211;Hourly average price final sum of components;;;153.49;2023-01-05T22:00:00+01:00
10211;Hourly average price final sum of components;;;158.9;2023-01-05T23:00:00+01:00
10211;Hourly average price final sum of components;;;119.25;2023-01-06T00:00:00+01:00
10211;Hourly average price final sum of components;;;116.07;2023-01-06T01:00:00+01:00
10211;Hourly average price final sum of components;;;112.92;2023-01-06T02:00:00+01:00
10211;Hourly average price final sum of components;;;101.05;2023-01-06T03:00:00+01:00
10211;Hourly average price final sum of components;;;96.76;2023-01-06T04:00:00+01:00
10211;Hourly average price final sum of components;;;104.31;2023-01-06T05:00:00+01:00
10211;Hourly average price final sum of components;;;119.19;2023-01-06T06:00:00+01:00
10211;Hourly average price final sum of components;;;126.99;2023-01-06T07:00:00+01:00
10211;Hourly average price final sum of components;;;139.21;2023-01-06T08:00:00+01:00
10211;Hourly average price final sum of components;;;135.69;2023-01-06T09:00:00+01:00
10211;Hourly average price final sum of components;;;128.09;2023-01-06T10:00:00+01:00
10211;Hourly average price final sum of components;;;115.88;2023-01-06T11:00:00+01:00
10211;Hourly average price final sum of components;;;109.47;2023-01-06T12:00:00+01:00
10211;Hourly average price final sum of components;;;102.8;2023-01-06T13:00:00+01:00
10211;Hourly average price final sum of components;;;92.79;2023-01-06T14:00:00+01:00
10211;Hourly average price final sum of components;;;80.24;2023-01-06T15:00:00+01:00
10211;Hourly average price final sum of components;;;93.9;2023-01-06T16:00:00+01:00
10211;Hourly average price final sum of components;;;133.71;2023-01-06T17:00:00+01:00
10211;Hourly average price final sum of components;;;141.87;2023-01-06T18:00:00+01:00
10211;Hourly average price final sum of components;;;152.73;2023-01-06T19:00:00+01:00
10211;Hourly average price final sum of components;;;152.27;2023-01-06T20:00:00+01:00
10211;Hourly average price final sum of components;;;145.69;2023-01-06T21:00:00+01:00
10211;Hourly average price final sum of components;;;114.04;2023-01-06T22:00:00+01:00
10211;Hourly average price final sum of components;;;115.24;2023-01-06T23:00:00+01:00
10211;Hourly average price final sum of components;;;69.62;2023-01-07T00:00:00+01:00
