Codigo,Provincia,1-2014,2-2014,3-2014,4-2014,5-2014,6-2014,7-2014,8-2014,9-2014,10-2014,11-2014,12-2014,1-2015,2-2015,3-2015,4-2015,5-2015,6-2015,7-2015,8-2015,9-2015,10-2015,11-2015,12-2015,1-2016,2-2016,3-2016,4-2016,5-2016,6-2016,7-2016,8-2016,9-2016,10-2016,11-2016,12-2016,1-2017,2-2017,3-2017,4-2017,5-2017,6-2017,7-2017,8-2017,9-2017,10-2017,11-2017,12-2017,1-2018,2-2018,3-2018,4-2018,5-2018,6-2018,7-2018,8-2018,9-2018,10-2018,11-2018,12-2018,1-2019,2-2019,3-2019,4-2019,5-2019,6-2019,7-2019,8-2019,9-2019,10-2019,11-2019,12-2019,1-2020,2-2020,3-2020,4-2020,5-2020,6-2020,7-2020,8-2020,9-2020,10-2020,11-2020,12-2020,1-2021,2-2021,3-2021,4-2021,5-2021,6-2021,7-2021,8-2021,9-2021,10-2021,11-2021,12-2021,1-2022,2-2022,3-2022,4-2022,5-2022,6-2022,7-2022,8-2022,9-2022,10-2022,11-2022,12-2022,1-2023,2-2023,3-2023,4-2023,5-2023,6-2023,7-2023,8-2023,9-2023,10-2023,11-2023,12-2023
01,Araba/Álava,92710,92730,92853,93898,93958,94104,93073,93285,93288,94187,94171,93515,91823,91975,92399,93503,94026,94320,93426,93196,92826,93811,94185,93783,91794,91491,91903,92783,93265,93724,92983,93112,92957,94407,94770,95156,94532,94217,94012,95130,95090,95260,94647,94948,94876,95966,96417,96195,94899,94886,95002,95878,96991,97206,96557,96696,96572,97869,97615,96961,95662,96073,96330,97424,97869,97691,97298,97192,96913,98133,98358,98065,96947,96714,96286,96706,96793,97478,96481,96672,96615,97435,97445,97506,97264,96844,97722,99118,99637,100253,99265,99937,100581,102559,102682,104138,103558,104200,107140,107264,108106,110048,109712,110137,109196,109436,109108,109205,109055,109852,110400,111089,110958,111658,111984,112517,112378,112460,112210,111979
02,Albacete,93943,93792,93912,95008,94933,94841,93716,93864,94067,94740,94762,93976,92138,92373,92912,93877,94377,94602,93486,93121,92878,93673,94172,93791,91651,91167,91676,92521,93231,93678,92716,92846,92759,94065,94555,95165,94493,94060,93940,94953,94822,94806,93940,94119,94329,95494,95946,95982,94878,94869,94968,95927,96814,97164,96357,96524,97013,97998,98065,97347,95943,96076,96342,97420,97463,97421,96644,96668,96670,98014,98292,98322,97063,96792,96179,96336,96440,97157,96164,96154,96228,97073,97374,97577,97400,96777,97861,98981,99670,100150,99134,99431,100253,102892,103157,104293,103581,104736,108576,108475,109319,111781,111245,111395,110268,110986,110840,111089,110428,111469,111872,113121,113011,113668,113780,114442,114847,115523,115289,115265
03,Alicante/Alacant,93556,93561,93710,94671,94888,94898,93899,94080,94120,94396,94395,93707,92192,92628,93205,94248,94798,95024,94064,93725,93285,93841,94205,93792,91732,91487,92015,92915,93518,93847,92975,93208,92981,94062,94443,94997,94582,94210,94057,95189,95258,95304,94543,94715,94732,95667,96127,96173,95038,95278,95344,96317,97391,97582,96759,97117,97099,97872,97789,97207,95893,96072,96335,97447,97761,97602,96998,97005,96858,97855,98037,97866,96943,96738,96160,96594,96697,97057,96225,96348,96479,96887,97129,97321,97485,96968,97769,99032,99664,100048,99223,99776,100621,102540,102786,104087,103620,104571,108060,107675,108498,110494,110372,110846,109885,110284,109997,109990,109888,111163,111568,112296,112110,112833,113199,113814,113988,114394,114029,113879
04,Almería,93735,93663,94029,94891,94786,94833,93705,93823,94150,94885,94726,93945,92204,92391,93123,94141,94491,94635,93529,93131,92915,93821,94013,93586,91635,91264,91893,92787,93214,93626,92676,92792,93034,94485,94689,95153,94477,94164,94427,95337,95163,95155,94220,94412,94856,96085,96518,96426,95143,95198,95445,96440,97143,97287,96381,96513,97051,98177,97978,97308,95685,95957,96580,97651,97751,97664,96843,96831,96971,98389,98285,98085,97158,97152,96759,97115,97015,97689,96479,96587,96814,97895,97909,97934,97656,97176,98125,99243,99607,100113,99077,99533,100479,102576,102637,103779,103390,104119,107375,107081,108206,110184,109305,109518,108975,109827,109497,109656,109204,110251,110936,111828,111744,112250,112214,113025,113454,113763,113449,113259
05,Ávila,93756,93378,93548,94358,94464,94516,93359,93438,93533,94356,94080,93375,91294,91341,92013,93017,93612,93938,92733,92178,91858,92892,93157,92869,90682,90167,90786,91622,92201,92700,91656,91588,91769,93356,93449,94115,93697,93426,93171,94125,94126,94096,93097,93180,93450,94838,95103,95099,94206,94137,94199,95122,96116,96538,95666,95687,96192,97525,97132,96406,95396,95595,95854,97091,97410,97188,96415,96139,96213,97769,97661,97573,96791,96514,96042,96051,95958,96554,95612,95630,95764,96678,96655,97103,97217,96485,97552,98758,99407,100132,99485,99732,100578,103136,103217,104301,104087,105109,109266,109570,110523,112731,112540,112185,111515,112490,111930,111994,111637,112527,112971,113910,113833,114751,114693,115259,115527,116016,115330,115420
06,Badajoz,94114,94067,94242,95355,95214,95302,93933,94022,94404,95201,94890,94281,92588,92775,93308,94378,94638,94842,93516,93075,92822,93897,94063,93789,91923,91585,92281,93279,93642,94046,93036,93008,93161,94533,94687,95312,94675,94212,94097,95228,95304,95242,94140,94173,94362,95700,95975,95982,94829,94849,95002,96172,96943,97260,96168,96204,96666,97925,97712,96993,95702,95740,96224,97742,97795,97532,96448,96150,96232,98067,97986,97623,96656,96440,96165,96916,96823,97263,96030,95971,96291,97313,97058,97106,97194,96548,97567,99317,99669,100296,99068,99571,100511,102982,103065,104212,103835,104670,107879,107901,109102,110996,110656,111413,110394,111287,111125,111479,111131,110665,111134,112773,112709,113155,113247,113719,114235,115138,114360,114300
07,"Balears, Illes",92995,92921,93056,93614,93812,94011,93528,93570,93551,93488,93583,93125,91999,92096,92658,93410,93992,94433,94128,93741,93208,93298,93719,93429,91951,91559,92033,92604,93177,93723,93499,93524,93268,93941,94384,94900,94598,94240,94258,95112,95195,95418,95181,95308,95204,95611,96100,96148,95253,95237,95289,96109,97162,97542,97072,97141,97007,97438,97284,96838,95893,95890,96367,97250,97523,97506,97251,97225,97062,97513,97693,97781,96983,96808,96516,96467,96593,96972,96639,96553,96562,96791,97171,97416,97643,97042,98037,98944,99548,100091,99548,99850,100600,102221,102705,103770,103518,104365,107245,106626,107731,109837,109757,110520,109520,109683,109203,109465,109448,110632,110895,111566,111800,112648,113001,113977,113923,113859,113100,113076
08,Barcelona,92260,92257,92403,93317,93426,93489,92707,92870,92769,93100,93132,92839,91646,91769,92338,93201,93673,93908,93150,92908,92493,92998,93271,93189,91715,91459,91959,92607,93123,93547,92959,93117,92927,93870,94216,94990,94424,94136,94139,95112,95056,95184,94734,94979,94926,95606,95972,96176,95289,95455,95602,96245,97143,97367,96796,96957,96977,97827,97725,97528,96334,96568,96901,97899,98117,98225,97655,97678,97422,98193,98315,98452,97438,97357,96971,97418,97394,97806,96963,96984,97048,97303,97490,97897,97945,97306,98133,99171,99648,100103,99435,99815,100423,102051,102373,103598,103353,104193,107032,106703,107410,109281,109173,109517,108611,108688,108642,108764,108674,109833,110412,110885,110940,111515,111890,112381,112305,112480,112094,112280
09,Burgos,93565,93439,93752,94475,94406,94412,93605,93670,94278,94690,94565,93992,92161,92192,92873,93807,94221,94468,93758,93354,93405,93901,94241,93880,91787,91374,92087,92561,93025,93449,92757,92919,93436,94606,94850,95356,94801,94488,94512,95170,95096,94990,94294,94444,94906,95871,96315,96214,95098,95157,95314,96060,96919,97187,96497,96581,97280,98128,97860,97355,96296,96418,96927,97638,97661,97641,97187,96850,97147,97953,98297,98095,97052,96836,96468,96602,96687,96955,96258,96259,96826,97243,97424,97470,97456,96711,97706,98825,99335,99886,99313,99688,100742,102792,103004,104542,103725,104631,108033,107760,108440,110604,110431,110715,110160,110364,110249,110428,109781,110537,110999,111443,111625,112489,112695,113266,113394,113960,113550,113788
10,Cáceres,93607,93552,93810,94767,94588,94515,93499,93618,94023,94641,94498,93995,92384,92482,93022,93914,94221,94458,93422,93029,92926,93801,94221,94081,92091,91792,92388,93114,93513,93832,92957,92898,93024,94289,94652,95231,94522,94210,94084,94957,95092,95127,94120,94190,94573,95668,96125,96116,94830,94970,95131,96028,96865,97057,96057,96243,96728,97761,97745,97164,95787,95997,96202,97382,97400,97318,96272,96288,96505,97907,98057,97836,96829,96726,96188,96896,96842,97229,96171,96380,96660,97689,97615,97513,97452,96805,97858,99200,99504,100077,98985,99543,100669,102910,102917,104080,103294,104159,107513,107807,108641,110704,109974,110418,109423,110111,109842,110016,109351,110161,110411,110748,111116,111665,111413,111881,112129,112742,112434,112535
